#  aims_uuid : 388BC64A-2B51-4D13-AD00-6382D47B5BC3                                
#  angular momentum projected density of states for species Si as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.019886 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -3.94332460        1.27209469        0.08311045        1.08781120        0.08625424        0.01491879
       -3.87643497        1.11678888        0.08022708        0.94359986        0.08032480        0.01263712
       -3.80954534        1.17667844        0.07880726        0.99952250        0.08433428        0.01401441
       -3.74265571        1.26210434        0.07708324        1.07943250        0.08976942        0.01581918
       -3.67576607        1.44027260        0.07559829        1.24536537        0.09997120        0.01933775
       -3.60887644        1.27079933        0.07126874        1.09195067        0.09021455        0.01736538
       -3.54198681        1.32729710        0.06823050        1.14694301        0.09307221        0.01905137
       -3.47509718        1.40091319        0.06452025        1.21901597        0.09611465        0.02126232
       -3.40820755        1.49385886        0.06043615        1.31011903        0.09911519        0.02418849
       -3.34131791        1.67217742        0.05727562        1.48162857        0.10350914        0.02976408
       -3.27442828        1.50491276        0.05457339        1.32274828        0.10270756        0.02488353
       -3.20753865        1.51277248        0.05219350        1.33051830        0.10483223        0.02522845
       -3.14064902        1.52560609        0.05013437        1.34241379        0.10744991        0.02560802
       -3.07375938        1.53200143        0.04842468        1.34743105        0.11052259        0.02562310
       -3.00686975        1.50771959        0.04697347        1.32340354        0.11248192        0.02486066
       -2.93998012        1.47415344        0.04562892        1.29126924        0.11312433        0.02413095
       -2.87309049        1.46792065        0.04471487        1.28371592        0.11560779        0.02388206
       -2.80620086        1.43978380        0.04316190        1.25715522        0.11613142        0.02333526
       -2.73931122        1.41335551        0.04217266        1.23155213        0.11680272        0.02282800
       -2.67242159        1.38153133        0.04083262        1.20158673        0.11687834        0.02223364
       -2.60553196        1.37234121        0.03919597        1.19283601        0.11819332        0.02211591
       -2.53864233        1.37963538        0.03694698        1.20002911        0.12029740        0.02236189
       -2.47175270        1.39445383        0.03456143        1.21403279        0.12314748        0.02271213
       -2.40486306        1.38169389        0.03214537        1.20305766        0.12394989        0.02254096
       -2.33797343        1.36355349        0.02974084        1.18725514        0.12429279        0.02226471
       -2.27108380        1.34003263        0.02735628        1.16664996        0.12413903        0.02188735
       -2.20419417        1.31076814        0.02500056        1.14094438        0.12341508        0.02140812
       -2.13730454        1.27693491        0.02270031        1.11120916        0.12217028        0.02085516
       -2.07041490        1.25178937        0.02042428        1.08948706        0.12133658        0.02054145
       -2.00352527        1.25172947        0.01836453        1.09012167        0.12244168        0.02080158
       -1.93663564        1.21033650        0.01644411        1.05332180        0.12046286        0.02010773
       -1.86974601        1.12648360        0.01427773        0.97858761        0.11527961        0.01833864
       -1.80285637        1.01608639        0.01261293        0.87931441        0.10845886        0.01570019
       -1.73596674        0.90947720        0.01149802        0.78288788        0.10212169        0.01296961
       -1.66907711        0.78252407        0.01059743        0.66964319        0.09193270        0.01035074
       -1.60218748        0.66127936        0.00949032        0.56254135        0.08120518        0.00804252
       -1.53529785        0.59642701        0.00852298        0.50547384        0.07554903        0.00688116
       -1.46840821        0.53664938        0.00762735        0.45308542        0.07008505        0.00585156
       -1.40151858        0.47943392        0.00674182        0.40322036        0.06456488        0.00490687
       -1.33462895        0.42478065        0.00580478        0.35593527        0.05899177        0.00404884
       -1.26773932        0.37270944        0.00475463        0.31130343        0.05337205        0.00327933
       -1.20084969        0.32444670        0.00358119        0.27035286        0.04790568        0.00260697
       -1.13396005        0.28185488        0.00250949        0.23438861        0.04291699        0.00203979
       -1.06707042        0.24611659        0.00160083        0.20430388        0.03863024        0.00158164
       -1.00018079        0.21723183        0.00087732        0.18000611        0.03512771        0.00122069
       -0.93329116        0.19520061        0.00036105        0.16140273        0.03249170        0.00094514
       -0.86640153        0.18002292        0.00007412        0.14840116        0.03080448        0.00074316
       -0.79951189        0.06868311        0.00001290        0.05617372        0.01229743        0.00019905
       -0.73262226        0.03163888        0.00000285        0.02575401        0.00581417        0.00006785
       -0.66573263        0.00878466        0.00000014        0.00711649        0.00165580        0.00001222
       -0.59884300        0.00009740        0.00000000        0.00007852        0.00001882        0.00000006
       -0.53195336        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -0.46506373        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -0.39817410        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -0.33128447        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -0.26439484        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -0.19750520        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -0.13061557        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -0.06372594        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
        0.00316369        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
        0.07005332        0.01625404        0.00147700        0.00769249        0.00707549        0.00000906
        0.13694296        0.06263949        0.00570232        0.02962747        0.02718341        0.00012629
        0.20383259        0.11147144        0.00966627        0.05375309        0.04763040        0.00042168
        0.27072222        0.14222420        0.01175372        0.06976461        0.05996248        0.00074340
        0.33761185        0.17846134        0.01453463        0.08791136        0.07488184        0.00113352
        0.40450149        0.20914312        0.01683057        0.10339398        0.08735551        0.00156307
        0.47139112        0.24733868        0.01960228        0.12290444        0.10269091        0.00214106
        0.53828075        0.29316364        0.02303976        0.14609168        0.12115428        0.00287792
        0.60517038        0.33859877        0.02630158        0.16940563        0.13917487        0.00371669
        0.67206001        0.38366979        0.02935126        0.19293084        0.15673335        0.00465433
