#  aims_uuid : 4CF4697B-F09B-4DB5-AAA9-BCDA3D746416                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -4.77462437        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.75792988        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.74123539        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.72454090        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.70784641        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.69115192        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.67445743        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.65776294        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.64106845        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.62437396        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.60767947        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.59098497        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.57429048        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.55759599        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.54090150        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.52420701        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.50751252        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.49081803        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.47412354        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.45742905        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.44073456        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.42404007        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.40734558        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.39065109        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.37395659        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.35726210        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.34056761        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.32387312        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.30717863        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.29048414        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.27378965        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.25709516        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.24040067        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.22370618        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.20701169        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.19031720        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.17362270        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.15692821        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.14023372        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.12353923        0.01046518        0.00000054        0.00557430        0.00374353        0.00114681
       -4.10684474        0.35222391        0.00045612        0.21869937        0.10365048        0.02941794
