#  aims_uuid : 4CF4697B-F09B-4DB5-AAA9-BCDA3D746416                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.055454 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -1.75589808       17.44026196        0.39698893       14.56901806        1.81597259        0.65828237
       -1.73920359       20.81422333        0.69364708       16.63893027        2.66469188        0.81695409
       -1.72250909       19.72765820        0.50030354       15.76412181        2.62211853        0.84111433
       -1.70581460       15.31562093        0.31654806       12.34850614        1.99645120        0.65411553
       -1.68912011       11.48186316        0.28397246        9.36142879        1.34562707        0.49083484
       -1.67242562       12.23654444        0.34542053        9.75719564        1.60427842        0.52964985
       -1.65573113       14.68442692        0.30105650       12.00738142        1.74905453        0.62693447
       -1.63903664       18.98824260        0.37615211       15.97112955        1.97745677        0.66350417
       -1.62234215       24.68824258        0.69654951       19.63540300        3.27347452        1.08281555
       -1.60564766       13.62486027        0.40840002       10.64091684        1.96644709        0.60909631
       -1.58895317        7.22612117        0.23007208        5.68192326        0.98921762        0.32490822
       -1.57225868       13.87460872        0.39949070       11.06978897        1.77996004        0.62536901
       -1.55556419       15.03257391        0.27557025       12.45293085        1.71649447        0.58757833
       -1.53886970       19.14996831        0.52515981       15.67743392        2.13552685        0.81184772
       -1.52217520       17.73225720        0.47404038       14.31109530        2.18448535        0.76263617
       -1.50548071       19.86044173        0.36987073       16.61910155        2.08043792        0.79103152
       -1.48878622       15.52574843        0.30711223       12.91494341        1.65397010        0.64972268
       -1.47209173       11.45566358        0.32482188        9.26620926        1.35172314        0.51290929
       -1.45539724       12.84869550        0.36521415       10.28679529        1.64025350        0.55643255
       -1.43870275       13.71659987        0.36621496       11.02509908        1.73040059        0.59488524
       -1.42200826       15.60739105        0.29813679       12.80711104        1.74544056        0.75670266
       -1.40531377        9.38822626        0.20178437        7.57281562        1.16646063        0.44716563
       -1.38861928        7.14345735        0.12772131        5.88439284        0.79876229        0.33258092
       -1.37192479        9.58910804        0.14503935        8.00781557        1.00466697        0.43158616
       -1.35523030       10.56268598        0.23118132        8.65852046        1.20532757        0.46765662
       -1.33853581        8.29921665        0.16402198        6.74886517        1.01715999        0.36916951
       -1.32184131       11.73112099        0.29088499        9.40805745        1.50474838        0.52743018
       -1.30514682       12.27079696        0.17987667       10.20274746        1.35932969        0.52884314
       -1.28845233        6.16761091        0.09491180        5.08896221        0.70077783        0.28295906
       -1.27175784        6.88707447        0.17275337        5.50835909        0.87275624        0.33320578
       -1.25506335        6.20590578        0.12977197        5.04629090        0.74341705        0.28642586
       -1.23836886       10.42264817        0.20258273        8.44481281        1.28521463        0.49003801
       -1.22167437        9.90452390        0.32158221        7.68967595        1.43732974        0.45593601
       -1.20497988        8.85756325        0.31464665        6.79977742        1.31765811        0.42548108
       -1.18828539        7.83006276        0.22314149        6.17185871        1.04805409        0.38700848
       -1.17159090       11.35073824        0.21754761        9.16847572        1.41541660        0.54929831
       -1.15489641        8.82571158        0.15287393        7.15217848        1.09232592        0.42833325
       -1.13820192        5.94493434        0.08315145        4.85664105        0.71632235        0.28881949
       -1.12150742        4.48480413        0.06834977        3.65847289        0.54131459        0.21666687
       -1.10481293        6.50055967        0.14920370        5.13951492        0.90610935        0.30573170
       -1.08811844        7.73410407        0.07886175        6.35095514        0.92313995        0.38114723
       -1.07142395        5.71052829        0.09512884        4.62188942        0.71164398        0.28186605
       -1.05472946        6.12186554        0.16457853        4.73119430        0.95526128        0.27083143
       -1.03803497        9.57112653        0.25119386        7.37939206        1.52011846        0.42042215
       -1.02134048       11.20390856        0.29104886        8.65840938        1.75285804        0.50159228
       -1.00464599        3.58174098        0.06696264        2.80324094        0.54953797        0.16199944
       -0.98795150        8.95703151        0.15780939        6.99360684        1.40354850        0.40206677
       -0.97125701        4.20222294        0.08240132        3.25645881        0.68583364        0.17752917
       -0.95456252        5.89644494        0.09974087        4.59425460        0.95394458        0.24850489
       -0.93786803        5.92495226        0.09681908        4.57842757        1.00823326        0.24147234
       -0.92117353        1.40380384        0.01648011        1.11115906        0.21101927        0.06514539
       -0.90447904        1.80491075        0.00307692        1.48418103        0.20906849        0.10858431
       -0.88778455        3.19127122        0.00096707        2.60816566        0.38747682        0.19466167
       -0.87109006        1.12288742        0.00146393        0.94650068        0.10944443        0.06547837
       -0.85439557        0.74794784        0.00113994        0.62636707        0.07576023        0.04468060
       -0.83770108        0.94524490        0.00122092        0.78899825        0.09793524        0.05709050
       -0.82100659        1.12227049        0.00101895        0.94021729        0.11315088        0.06788337
       -0.80431210        3.90847464        0.00329695        3.30700683        0.36351045        0.23466041
       -0.78761761        1.61356907        0.00087715        1.35233927        0.16072524        0.09962741
       -0.77092312        0.22444783        0.00013640        0.18678609        0.02358764        0.01393770
       -0.75422863        0.13160257        0.00071371        0.11164895        0.01159558        0.00764433
       -0.73753414        0.32075519        0.00067234        0.27429160        0.02662832        0.01916292
       -0.72083965        0.00149750        0.00007574        0.00118874        0.00017314        0.00005988
       -0.70414515        0.00643857        0.00006182        0.00540210        0.00059127        0.00038338
       -0.68745066        0.60886927        0.00016296        0.51659312        0.05350169        0.03861150
       -0.67075617        0.46465490        0.00030303        0.40337009        0.03263667        0.02834510
       -0.65406168        0.51815120        0.00039024        0.44896924        0.03688045        0.03191127
       -0.63736719        0.04368785        0.00016482        0.03759856        0.00326976        0.00265472
       -0.62067270        0.00177644        0.00005902        0.00145069        0.00021043        0.00005629
       -0.60397821        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -0.58728372        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -0.57058923        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -0.55389474        0.00071568        0.00003461        0.00056371        0.00008318        0.00003418
       -0.53720025        0.00095852        0.00004794        0.00075518        0.00010988        0.00004552
       -0.52050576        0.00106672        0.00005584        0.00084108        0.00011978        0.00005002
       -0.50381126        0.00195215        0.00010660        0.00154922        0.00021057        0.00008576
       -0.48711677        0.00290385        0.00016146        0.00233196        0.00029740        0.00011303
       -0.47042228        0.00264986        0.00013048        0.00215385        0.00028106        0.00008447
       -0.45372779        0.00192199        0.00009614        0.00155548        0.00020841        0.00006196
       -0.43703330        0.00174742        0.00007169        0.00141879        0.00021028        0.00004666
       -0.42033881        0.00214343        0.00006773        0.00173813        0.00029099        0.00004657
       -0.40364432        0.00025772        0.00000768        0.00020981        0.00003355        0.00000668
       -0.38694983        0.00102586        0.00002314        0.00084238        0.00013694        0.00002341
       -0.37025534        0.00112873        0.00001580        0.00092678        0.00016227        0.00002389
       -0.35356085        0.00078840        0.00000200        0.00065192        0.00011829        0.00001619
       -0.33686636        0.00046694       -0.00000012        0.00038633        0.00007137        0.00000936
       -0.32017187        0.00058198       -0.00000284        0.00048674        0.00008672        0.00001135
       -0.30347737        0.00040701       -0.00000310        0.00034162        0.00006077        0.00000772
       -0.28678288        0.00035604       -0.00000434        0.00030049        0.00005333        0.00000655
       -0.27008839        0.00035602       -0.00000634        0.00030225        0.00005371        0.00000639
       -0.25339390        0.00025105       -0.00000748        0.00021576        0.00003845        0.00000433
       -0.23669941        0.00027639       -0.00001062        0.00024014        0.00004219        0.00000468
       -0.22000492        0.00017595       -0.00000743        0.00015374        0.00002671        0.00000293
       -0.20331043        0.00015093       -0.00000713        0.00013274        0.00002289        0.00000243
       -0.18661594        0.00013657       -0.00000708        0.00012086        0.00002066        0.00000213
       -0.16992145        0.00012200       -0.00000687        0.00010865        0.00001837        0.00000185
       -0.15322696        0.00009971       -0.00000594        0.00008927        0.00001490        0.00000148
       -0.13653247        0.00008445       -0.00000527        0.00007598        0.00001252        0.00000122
       -0.11983798        0.00007181       -0.00000469        0.00006494        0.00001055        0.00000100
       -0.10314348        0.00005958       -0.00000406        0.00005417        0.00000868        0.00000080
       -0.08644899        0.00004776       -0.00000340        0.00004365        0.00000689        0.00000062
       -0.06975450        0.00003589       -0.00000265        0.00003296        0.00000513        0.00000044
       -0.05306001        0.00001726       -0.00000132        0.00001591        0.00000245        0.00000021
       -0.03636552        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -0.01967103        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -0.00297654        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
        0.01371795        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
        0.03041244        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
        0.04710693        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
        0.06380142        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
        0.08049591        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
        0.09719040        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
        0.11388490        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
        0.13057939        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
        0.14727388        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
        0.16396837        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
        0.18066286        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
        0.19735735        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
        0.21405184        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
