#  aims_uuid : 4CF4697B-F09B-4DB5-AAA9-BCDA3D746416                                
#  angular momentum projected density of states for species Pb as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -5.40901503        2.06169830        1.58006562        0.34975415        0.09634208        0.02647456        0.00906188
       -5.39232053        1.36309856        1.05040629        0.21162131        0.07928134        0.01555096        0.00623866
       -5.37562604        1.95225338        1.46732555        0.30287857        0.15517288        0.01750517        0.00937121
       -5.35893155        1.50544649        1.14654776        0.20373634        0.13577159        0.01176897        0.00762182
       -5.34223706        1.45887841        1.11743609        0.18168075        0.14232976        0.00980349        0.00762832
       -5.32554257        1.62566085        1.24771359        0.18591915        0.17437929        0.00882412        0.00882471
       -5.30884808        1.24402853        0.95195877        0.17824679        0.10090093        0.00698886        0.00593318
       -5.29215359        1.45362280        1.12462848        0.23089386        0.08285678        0.00901423        0.00622946
       -5.27545910        0.95002901        0.74116942        0.15878953        0.04021987        0.00595077        0.00389943
       -5.25876461        0.85379568        0.67023319        0.14437421        0.03073358        0.00502734        0.00342737
       -5.24207012        0.80816978        0.63947732        0.13646279        0.02451197        0.00452545        0.00319226
       -5.22537563        0.75483378        0.60184404        0.12510735        0.02105983        0.00384653        0.00297603
       -5.20868114        0.63567699        0.51467839        0.09748042        0.01818595        0.00276895        0.00256328
       -5.19198664        0.55068019        0.45586865        0.07431525        0.01617336        0.00203840        0.00228453
       -5.17529215        0.47885214        0.40552057        0.05544986        0.01435962        0.00148107        0.00204102
       -5.15859766        0.40609272        0.35187787        0.03896959        0.01245454        0.00101206        0.00177867
       -5.14190317        0.33240192        0.29494054        0.02487443        0.01045811        0.00063137        0.00149748
       -5.12520868        0.25438941        0.23161647        0.01298977        0.00826791        0.00033326        0.00118200
       -5.10851419        0.12405867        0.11602704        0.00311499        0.00423907        0.00007993        0.00059763
       -5.09181970        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -5.07512521        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -5.05843072        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -5.04173623        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -5.02504174        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -5.00834725        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.99165275        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.97495826        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.95826377        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.94156928        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.92487479        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
